,All items,Food,Cereals and bakery products,"Meats, poultry, fish, and eggs",Dairy and related products,Fruits and vegetables,Housing,Other services,Transportation,Medical care,Education and communication,Recreation,Other goods and services
IDX-APR-2019,255.548,257.70799999999997,276.64,249.203,217.51,303.503,264.452,357.64599999999996,214.142,493.33099999999996,137.18200000000002,120.821,448.658
IDX-MAY-2019,256.092,258.11,277.795,250.356,217.84099999999998,302.35200000000003,265.137,357.19,215.391,494.92800000000005,137.19899999999998,120.25399999999999,449.89599999999996
IDX-JUN-2019,256.143,258.064,276.89099999999996,249.231,217.433,298.611,266.461,357.49300000000005,213.07299999999998,495.56300000000005,137.344,120.145,449.345
IDX-JUL-2019,256.57099999999997,258.274,277.49,250.033,217.62599999999998,299.35,267.101,358.051,213.405,497.68699999999995,137.595,120.12799999999999,451.709
IDX-AUG-2019,256.558,258.41,276.619,249.27700000000002,218.75799999999998,298.6,267.263,359.32,211.084,500.916,138.154,120.458,453.074
IDX-SEP-2019,256.759,258.943,277.308,249.74,219.771,297.309,267.822,359.723,209.35,501.468,138.409,120.35700000000001,453.19300000000004
IDX-OCT-2019,257.346,259.632,276.47,250.592,220.738,301.318,267.79400000000004,360.968,210.487,506.1,138.529,120.98200000000001,455.225
IDX-NOV-2019,257.20799999999997,259.467,276.166,250.49099999999999,221.515,297.472,267.925,362.30300000000005,209.763,507.541,138.92,121.381,456.26199999999994
IDX-DEC-2019,256.974,259.823,275.036,252.893,221.924,297.105,268.236,363.215,208.482,509.689,138.839,121.545,455.413
IDX-JAN-2020,257.971,261.057,275.916,252.905,223.035,301.67900000000003,269.468,364.536,208.28400000000002,512.149,139.132,121.986,458.336
IDX-FEB-2020,258.678,261.876,276.64099999999996,253.396,224.44299999999998,299.817,270.281,364.767,207.77200000000002,513.923,139.256,122.06700000000001,460.144
IDX-MAR-2020,258.115,262.70799999999997,277.64599999999996,254.72400000000002,225.627,299.64099999999996,270.27299999999997,365.51599999999996,203.854,515.605,139.19899999999998,122.265,461.495
IDX-APR-2020,256.389,266.757,285.16,266.263,228.755,304.809,270.184,365.78,193.732,517.053,139.378,121.935,461.29400000000004
