,,Indexes,,Percent change from-,,
Item and Group ,,,,,,
,Feb. ,Mar. ,Apr. ,Apr. ,Feb. ,Mar. 
,2020,2020,2020,2019,2020,2020
Expenditure category,,,,,,
All items..................................................................,278.657,276.589,275.853,0.7, -1.0, -0.3
All items (1967=100) ..............................................,823.275,817.166,814.991, -, -, -
Food and beverages ..........................................,272.546,271.669,276.101,3.9,1.3,1.6
Food ...............................................................,274.138,273.203,276.185,3.7,0.7,1.1
Food at home ..............................................,259.08,258.171,262.351,2.4,1.3,1.6
Cereals and bakery products ......................,276.386,271.72,284.534,5,2.9,4.7
"Meats, poultry, fish, and eggs......................",279.993,283.766,288.203,3.4,2.9,1.6
Dairy and related products ..........................,254.288,250.076,260.443,7.1,2.4,4.1
Fruits and vegetables ..................................,352.276,348.884,348.901,1.9, -1.0,0
Nonalcoholic beverages and beverage,,,,,,
,260.897,261.974,267.84,1.5,2.7,2.2
materials(1) .................................................,,,,,,
Other food at home .....................................,197.475,196.346,196.149, -1.2, -0.7, -0.1
Food away from home....................................,286.037,285.087,286.872,4.8,0.3,0.6
Food away from home.................................,286.037,285.087,286.872,4.8,0.3,0.6
Alcoholic beverages .......................................,234.278,234.149,255.2,6.1,8.9,9
Housing ..............................................................,321.211,321.162,322.624,3.2,0.4,0.5
Shelter ............................................................,372.271,372.238,373.697,3.3,0.4,0.4
Rent of primary residence(2).......................,396.346,397.22,398.555,4.5,0.6,0.3
Owners' equiv. rent of residences(2)(3).......,386.813,387.573,389.571,3.9,0.7,0.5
Owners' equiv. rent of primary,,,,,,
,386.791,387.55,389.549,3.9,0.7,0.5
residence(1)(2) ........................................,,,,,,
Fuels and utilities............................................,335.785,332.849,332.824,3.4, -0.9,0
Household energy .......................................,289.442,285.837,285.806,4.3, -1.3,0
Energy services(2) ..................................,288.05,284.438,284.472,4.4, -1.2,0
Electricity(2)..........................................,336.323,336.323,332.952,2.9, -1.0, -1.0
Utility (piped) gas service(2).................,227.58,216.079,223.1,9.2, -2.0,3.2
Household furnishings and operations...........,118.423,119.239,121.095,1.6,2.3,1.6
Apparel ...............................................................,114.583,109.624,103.359, -6.4, -9.8, -5.7
Transportation ....................................................,214.885,206.78,196.441, -12.1, -8.6, -5.0
Private transportation .....................................,211.6,205.655,195.216, -11.2, -7.7, -5.1
New and used motor vehicles(4)....................,91.527,90.78,90.854, -1.2, -0.7,0.1
New vehicles(1)...........................................,171.904,171.255,170.766,0.4, -0.7, -0.3
Used cars and trucks(1) ..............................,263.406,269.562,266.42, -1.0,1.1, -1.2
Motor fuel ....................................................,273.331,252.972,222.5, -27.7, -18.6, -12.0
Gasoline (all types)..................................,266.97,247.056,217.188, -27.8, -18.6, -12.1
"Gasoline, unleaded regular(4)..............",266.79,246.587,216.272, -28.3, -18.9, -12.3
"Gasoline, unleaded midgrade(4)(5)......",258.47,239.988,213.621, -26.0, -17.4, -11.0
"Gasoline, unleaded premium(4) ...........",256.459,238.851,212.267, -25.6, -17.2, -11.1
Motor vehicle insurance(1) .............................,786.324,786.324,679.162, -12.4, -13.6, -13.6
Medical care .......................................................,499.208,500.341,499.72,3.6,0.1, -0.1
Recreation(6)......................................................,108.757,107.776,108.317,2.8, -0.4,0.5
Education and communication(6).......................,149.002,148.729,149.159,1.5,0.1,0.3
"Tuition, other school fees, and child care(1) ..",1961.158,1960.82,1963.667,3.7,0.1,0.1
Other goods and services ..................................,446.751,445.003,450.417,3.2,0.8,1.2
All items..................................................................,278.657,276.589,275.853,0.7, -1.0, -0.3
Commodities ......................................................,185.266,182.697,180.993, -2.9, -2.3, -0.9
Commodities less food & beverages..............,140.276,137.012,132.57, -8.2, -5.5, -3.2
Nondurables less food & beverages ...........,192.518,185.427,176.017, -11.8, -8.6, -5.1
Durables ......................................................,90.121,90.062,89.794, -2.1, -0.4, -0.3
Services..............................................................,361.7,360.201,360.45,2.4, -0.3,0.1
All items less medical care .....................................,269.046,266.878,266.142,0.5, -1.1, -0.3
All items less shelter...............................................,237.401,234.478,232.812, -1.1, -1.9, -0.7
Commodities less food ...........................................,144.54,141.363,137.783, -7.4, -4.7, -2.5
Nondurables ...........................................................,233.736,229.726,227.215, -3.1, -2.8, -1.1
Nondurables less food............................................,197.5,190.854,183.606, -10.2, -7.0, -3.8
Services less rent of shelter(3)...............................,356.089,352.444,350.96,1.1, -1.4, -0.4
Services less medical care services.......................,348.868,347.252,347.441,2.2, -0.4,0.1
Energy ....................................................................,281.014,266.478,246.634, -17.3, -12.2, -7.4
All items less energy ..............................................,280.711,279.462,280,2, -0.3,0.2
All items less food and energy ...........................,282.124,280.815,280.885,1.7, -0.4,0
