,,Indexes,,Percent change from-,,
Item and Group ,,,,,,
,Dec. ,Jan. ,Feb. ,Feb. ,Dec. ,Jan. 
,2019,2020,2020,2019,2019,2020
Expenditure category,,,,,,
All items..................................................................,275.553,277.755,278.657,3.4,1.1,0.3
All items (1967=100) ..............................................,814.106,820.612,823.275, -, -, -
Food and beverages ..........................................,267.623,271.402,272.546,3.6,1.8,0.4
Food ...............................................................,269.4,272.904,274.138,4,1.8,0.5
Food at home ..............................................,256.446,258.997,259.08,2,1,0
Cereals and bakery products ......................,271.514,273.713,276.386,4.2,1.8,1
"Meats, poultry, fish, and eggs......................",281.643,283.279,279.993,1.4, -0.6, -1.2
Dairy and related products ..........................,253.042,255.915,254.288,3.3,0.5, -0.6
Fruits and vegetables ..................................,342.395,346.423,352.276,5.8,2.9,1.7
Nonalcoholic beverages and beverage,,,,,,
,259.489,265.988,260.897, -3.7,0.5, -1.9
materials(1) .................................................,,,,,,
Other food at home .....................................,195.258,196.28,197.475,0.8,1.1,0.6
Food away from home....................................,279.297,283.693,286.037,5.8,2.4,0.8
Food away from home.................................,279.297,283.693,286.037,5.8,2.4,0.8
Alcoholic beverages .......................................,227.556,234.278,234.278, -2.3,3,0
Housing ..............................................................,319.257,320.216,321.211,3.8,0.6,0.3
Shelter ............................................................,369.854,370.579,372.271,4.3,0.7,0.5
Rent of primary residence(2).......................,394.303,394.761,396.346,5,0.5,0.4
Owners' equiv. rent of residences(2)(3).......,384.958,385.738,386.813,4.1,0.5,0.3
Owners' equiv. rent of primary,,,,,,
,384.936,385.716,386.791,4.1,0.5,0.3
residence(1)(2) ........................................,,,,,,
Fuels and utilities............................................,331.851,338.513,335.785,3.3,1.2, -0.8
Household energy .......................................,283.097,293.308,289.442,4,2.2, -1.3
Energy services(2) ..................................,281.858,291.952,288.05,4.1,2.2, -1.3
Electricity(2)..........................................,330.012,335.88,336.323,5.8,1.9,0.1
Utility (piped) gas service(2).................,220.806,240.913,227.58, -0.6,3.1, -5.5
Household furnishings and operations...........,118.839,118.74,118.423, -0.9, -0.4, -0.3
Apparel ...............................................................,106.453,112.147,114.583,6.8,7.6,2.2
Transportation ....................................................,213.991,214.517,214.885,2.1,0.4,0.2
Private transportation .....................................,212.053,211.38,211.6,2, -0.2,0.1
New and used motor vehicles(4)....................,89.681,90.689,91.527, -0.3,2.1,0.9
New vehicles(1)...........................................,168.357,169.444,171.904,1.1,2.1,1.5
Used cars and trucks(1) ..............................,262.995,261.076,263.406, -1.5,0.2,0.9
Motor fuel ....................................................,281.47,274.752,273.331,6.6, -2.9, -0.5
Gasoline (all types)..................................,274.921,268.329,266.97,6.7, -2.9, -0.5
"Gasoline, unleaded regular(4)..............",274.851,268.258,266.79,6.4, -2.9, -0.5
"Gasoline, unleaded midgrade(4)(5)......",265.897,259.489,258.47,7.2, -2.8, -0.4
"Gasoline, unleaded premium(4) ...........",263.52,257.222,256.459,7.1, -2.7, -0.3
Motor vehicle insurance(1) .............................,782.92,782.92,786.324,1.5,0.4,0.4
Medical care .......................................................,485.696,498.27,499.208,3.5,2.8,0.2
Recreation(6)......................................................,105.912,107.744,108.757,2.7,2.7,0.9
Education and communication(6).......................,149.031,149.118,149.002,1.7,0, -0.1
"Tuition, other school fees, and child care(1) ..",1959.856,1961.158,1961.158,3.6,0.1,0
Other goods and services ..................................,447.306,449.83,446.751,2.6, -0.1, -0.7
All items..................................................................,275.553,277.755,278.657,3.4,1.1,0.3
Commodities ......................................................,182.787,184.534,185.266,2.5,1.4,0.4
Commodities less food & beverages..............,138.978,139.751,140.276,1.7,0.9,0.4
Nondurables less food & beverages ...........,190.233,191.943,192.518,4.1,1.2,0.3
Durables ......................................................,89.682,89.672,90.121, -2.2,0.5,0.5
Services..............................................................,358.083,360.662,361.7,3.7,1,0.3
All items less medical care .....................................,266.331,268.151,269.046,3.4,1,0.3
All items less shelter...............................................,234.021,236.84,237.401,2.7,1.4,0.2
Commodities less food ...........................................,143.044,144.03,144.54,1.6,1,0.4
Nondurables ...........................................................,230.114,232.872,233.736,3.9,1.6,0.4
Nondurables less food............................................,194.864,196.962,197.5,3.7,1.4,0.3
Services less rent of shelter(3)...............................,350.67,355.975,356.089,2.8,1.5,0
Services less medical care services.......................,346.037,347.836,348.868,3.6,0.8,0.3
Energy ....................................................................,284.05,283.316,281.014,5.7, -1.1, -0.8
All items less energy ..............................................,277.171,279.587,280.711,3.2,1.3,0.4
All items less food and energy ...........................,278.812,281.022,282.124,3.1,1.2,0.4
