,,Indexes,,Percent change from-,,
Item and Group ,,,,,,
,Sep. ,Oct. ,Nov. ,Nov. ,Sep. ,Oct. 
,2019,2019,2019,2018,2019,2019
Expenditure category,,,,,,
All items..................................................................,276.054,278.075,277.239,3.2,0.4, -0.3
All items (1967=100) ..............................................,815.585,821.558,819.088, -, -, -
Food and beverages ..........................................,268.178,268.773,268.232,2.7,0, -0.2
Food ...............................................................,269.243,269.868,269.725,3.1,0.2, -0.1
Food at home ..............................................,256.546,257.259,257.137,1.6,0.2,0
Cereals and bakery products ......................,273.25,276.331,273.013,2.7, -0.1, -1.2
"Meats, poultry, fish, and eggs......................",279.039,280.59,284.748,2.4,2,1.5
Dairy and related products ..........................,244.89,249.19,252.231,4.9,3,1.2
Fruits and vegetables ..................................,344.965,347.434,341.367,1.1, -1.0, -1.7
Nonalcoholic beverages and beverage,,,,,,
,258.029,253.321,255.707, -1.5, -0.9,0.9
materials(1) .................................................,,,,,,
Other food at home .....................................,199.4,198.414,197.047,0.7, -1.2, -0.7
Food away from home....................................,278.875,279.4,279.237,4.6,0.1, -0.1
Food away from home.................................,278.875,279.4,279.237,4.6,0.1, -0.1
Alcoholic beverages .......................................,237.594,237.752,231.925, -3.3, -2.4, -2.5
Housing ..............................................................,318.579,319.381,319.37,4.6,0.2,0
Shelter ............................................................,367.156,368.322,370.434,5.2,0.9,0.6
Rent of primary residence(2).......................,389.477,391.895,393.179,5.4,1,0.3
Owners' equiv. rent of residences(2)(3).......,381.832,382.524,384.01,4.8,0.6,0.4
Owners' equiv. rent of primary,,,,,,
,381.81,382.502,383.988,4.8,0.6,0.4
residence(1)(2) ........................................,,,,,,
Fuels and utilities............................................,332.808,337.793,326.698,1.7, -1.8, -3.3
Household energy .......................................,285.017,290.446,276.725,0.8, -2.9, -4.7
Energy services(2) ..................................,283.613,288.848,275.203,0.7, -3.0, -4.7
Electricity(2)..........................................,326.491,331.131,330.012,3.3,1.1, -0.3
Utility (piped) gas service(2).................,233.416,240.518,199.891, -7.0, -14.4, -16.9
Household furnishings and operations...........,124.585,122.88,118.888,0.9, -4.6, -3.2
Apparel ...............................................................,112.308,109.325,106.58, -1.2, -5.1, -2.5
Transportation ....................................................,217.643,225.128,221.128,2.5,1.6, -1.8
Private transportation .....................................,214.749,222.627,218.837,2.9,1.9, -1.7
New and used motor vehicles(4)....................,90.969,91.183,90.685, -0.9, -0.3, -0.5
New vehicles(1)...........................................,168.792,168.472,168.689, -0.1, -0.1,0.1
Used cars and trucks(1) ..............................,265.859,265.251,263.523, -0.9, -0.9, -0.7
Motor fuel ....................................................,290.816,319.939,306.142,8.7,5.3, -4.3
Gasoline (all types)..................................,284.163,312.811,299.212,8.8,5.3, -4.3
"Gasoline, unleaded regular(4)..............",284.214,313.28,299.59,8.6,5.4, -4.4
"Gasoline, unleaded midgrade(4)(5)......",274.83,300.817,287.692,8.8,4.7, -4.4
"Gasoline, unleaded premium(4) ...........",271.704,297.181,284.65,8.9,4.8, -4.2
Motor vehicle insurance(1) .............................,777.794,782.92,782.92,0,0.7,0
Medical care .......................................................,480.073,484.305,485.276,2.5,1.1,0.2
Recreation(6)......................................................,104.177,107.776,107.51, -1.0,3.2, -0.2
Education and communication(6).......................,149.287,149.112,149.289,1.5,0,0.1
"Tuition, other school fees, and child care(1) ..",1961.62,1959.569,1959.569,2.7, -0.1,0
Other goods and services ..................................,443.033,441.1,450.146,4.4,1.6,2.1
All items..................................................................,276.054,278.075,277.239,3.2,0.4, -0.3
Commodities ......................................................,186.235,188.209,185.573,1.9, -0.4, -1.4
Commodities less food & beverages..............,143.3,145.669,142.409,1.3, -0.6, -2.2
Nondurables less food & beverages ...........,196.346,202.158,196.819,2.4,0.2, -2.6
Durables ......................................................,92.305,91.689,90.318, -0.6, -2.2, -1.5
Services..............................................................,355.989,358.059,358.805,3.9,0.8,0.2
All items less medical care .....................................,267.061,268.989,268.089,3.3,0.4, -0.3
All items less shelter...............................................,235.978,238.399,236.218,1.9,0.1, -0.9
Commodities less food ...........................................,147.569,149.91,146.542,1.1, -0.7, -2.2
Nondurables ...........................................................,233.824,237.382,234.116,2.6,0.1, -1.4
Nondurables less food............................................,201.274,206.858,201.42,2,0.1, -2.6
Services less rent of shelter(3)...............................,349.406,352.824,351.611,1.9,0.6, -0.3
Services less medical care services.......................,344.269,346.147,346.853,3.8,0.8,0.2
Energy ....................................................................,290.873,311.941,298.072,6,2.5, -4.4
All items less energy ..............................................,277.256,278.028,278.051,3,0.3,0
All items less food and energy ...........................,278.935,279.732,279.781,3,0.3,0
