,,Indexes,,Percent change from-,,
Item and Group,,,,,,
,Sep.,Oct.,Nov.,Nov.,Sep.,Oct.
,2019,2019,2019,2018,2019,2019
Expenditure category,,,,,,
All items ..................................................................,301.033,-,301.520,2.6,0.2,-
All items (1967=100) ..............................................,"1,017.886",-,"1,019.532",-,-,-
Food and beverages ..........................................,261.023,-,263.074,2.4,0.8,-
Food ...............................................................,258.680,-,261.605,2.8,1.1,-
Food at home ..............................................,230.653,229.764,232.641,3.3,0.9,1.3
Cereals and bakery products ......................,260.394,-,264.756,2.7,1.7,-
"Meats, poultry, fish, and eggs......................",237.007,-,240.881,2.1,1.6,-
Dairy and related products ..........................,190.050,-,193.319,7.8,1.7,-
Fruits and vegetables ..................................,269.633,-,268.477,6.0,-0.4,-
Nonalcoholic beverages and beverage,,,,,,
materials(1) .................................................,246.405,-,261.284,5.5,6.0,-
Other food at home .....................................,215.755,-,212.487,0.3,-1.5,-
Food away from home....................................,295.494,-,299.759,2.3,1.4,-
Food away from home.................................,295.494,-,299.759,2.3,1.4,-
Alcoholic beverages .......................................,275.751,-,268.306,-2.2,-2.7,-
Housing ..............................................................,357.699,-,357.465,3.2,-0.1,-
Shelter ............................................................,406.683,407.623,408.643,3.2,0.5,0.3
Rent of primary residence(2).......................,402.529,404.812,406.049,3.2,0.9,0.3
Owners' equiv. rent of residences(2) ...........,431.157,433.322,433.641,3.8,0.6,0.1
Owners' equiv. rent of primary,,,,,,
residence(2) ............................................,431.157,433.322,433.641,3.8,0.6,0.1
Fuels and utilities............................................,353.831,-,336.057,4.0,-5.0,-
Household energy .......................................,323.472,325.153,298.621,5.1,-7.7,-8.2
Energy services.......................................,319.788,321.183,294.357,5.2,-8.0,-8.4
Electricity ..............................................,324.183,324.183,297.342,6.1,-8.3,-8.3
Utility (piped) gas service .....................,205.204,210.966,192.531,0.2,-6.2,-8.7
Household furnishings and operations ...........,186.521,-,185.892,3.0,-0.3,-
Apparel ...............................................................,171.134,-,161.566,-0.7,-5.6,-
Transportation ....................................................,234.106,-,235.748,3.2,0.7,-
Private transportation .....................................,226.943,-,231.889,3.3,2.2,-
New and used motor vehicles(3)....................,106.930,-,106.856,1.1,-0.1,-
New vehicles(1)...........................................,229.008,-,226.635,0.7,-1.0,-
Used cars and trucks(1) ..............................,231.004,-,228.974,-1.0,-0.9,-
Motor fuel ....................................................,299.371,323.006,318.091,7.8,6.3,-1.5
Gasoline (all types)..................................,299.202,323.220,318.175,7.8,6.3,-1.6
"Gasoline, unleaded regular(4)..............",310.336,335.724,330.527,7.8,6.5,-1.5
"Gasoline, unleaded midgrade(4)(5)......",259.794,275.704,271.475,6.2,4.5,-1.5
"Gasoline, unleaded premium(4) ...........",303.710,326.885,321.591,8.0,5.9,-1.6
Motor vehicle insurance(1) .............................,533.034,-,535.994,0.7,0.6,-
Medical care .......................................................,494.789,-,496.264,3.7,0.3,-
Recreation(3)......................................................,156.400,-,158.427,3.8,1.3,-
Education and communication(3).......................,130.136,-,130.967,-2.5,0.6,-
"Tuition, other school fees, and child care(1) ..","1,538.385",-,"1,538.385",-3.2,0.0,-
Other goods and services ..................................,405.354,-,410.688,0.5,1.3,-
All items ..................................................................,301.033,-,301.520,2.6,0.2,-
Commodities ......................................................,204.877,-,205.831,2.0,0.5,-
Commodities less food & beverages..............,175.019,-,175.479,1.8,0.3,-
Nondurables less food & beverages ...........,212.219,-,213.666,2.8,0.7,-
Durables ......................................................,136.273,-,135.709,0.1,-0.4,-
Services..............................................................,386.086,-,386.131,2.9,0.0,-
All items less medical care .....................................,291.897,-,292.338,2.5,0.2,-
All items less shelter...............................................,259.334,-,259.245,2.2,0.0,-
Commodities less food ...........................................,179.550,-,179.736,1.6,0.1,-
Nondurables ...........................................................,238.012,-,239.760,2.6,0.7,-
Nondurables less food............................................,218.363,-,219.230,2.4,0.4,-
Services less rent of shelter(2)...............................,380.967,-,378.681,2.5,-0.6,-
Services less medical care services.......................,373.883,-,373.723,2.8,0.0,-
Energy ....................................................................,304.412,320.010,307.509,6.8,1.0,-3.9
All items less energy ..............................................,303.403,-,303.702,2.3,0.1,-
All items less food and energy ...........................,313.020,-,312.866,2.2,0.0,-
