,Indexes,,,Percent change from-,,
Item and Group ,,,,,,
,Feb. ,Mar. ,Apr. ,Apr. ,Feb. ,Mar. 
,2020,2020,2020,2019,2020,2020
Expenditure category,,,,,,
All items..................................................................,299.69, -,298.074,1.1, -0.5, -
All items (1967=100) ..............................................,921.33, -,916.364, -, -, -
Food and beverages ..........................................,294.897, -,299.485,3.9,1.6, -
Food ...............................................................,293.86, -,298.539,4.4,1.6, -
Food at home ..............................................,255.459,261.013,269.499,6.7,5.5,3.3
Cereals and bakery products ......................,260.713, -,271.507,5.2,4.1, -
"Meats, poultry, fish, and eggs......................",259.584, -,286.649,14.5,10.4, -
Dairy and related products ..........................,276.983, -,286.772,9.6,3.5, -
Fruits and vegetables ..................................,337.537, -,350.323,2.2,3.8, -
Nonalcoholic beverages and beverage,,,,,,
,205.5, -,215.232,5.4,4.7, -
materials(1) .................................................,,,,,,
Other food at home .....................................,215.951, -,224.227,3.3,3.8, -
Food away from home....................................,338.7, -,330.932,2, -2.3, -
Food away from home.................................,338.7, -,330.932,2, -2.3, -
Alcoholic beverages .......................................,310.927, -,314.451, -0.6,1.1, -
Housing ..............................................................,355.875, -,356.77,3.1,0.3, -
Shelter ............................................................,406.369,408.835,406.463,2.8,0, -0.6
Rent of primary residence(2).......................,469.062,469.878,466.196,2.7, -0.6, -0.8
Owners' equiv. rent of residences(2)(3).......,435.428,436.202,433.239,2.2, -0.5, -0.7
Owners' equiv. rent of primary,,,,,,
,435.428,436.202,433.239,2.2, -0.5, -0.7
residence(1)(2) ........................................,,,,,,
Fuels and utilities............................................,428.216, -,433.404,4.2,1.2, -
Household energy .......................................,371.12,373.737,376.787,4.8,1.5,0.8
Energy services(2) ..................................,372.547,375.304,378.732,5.1,1.7,0.9
Electricity(2)..........................................,405.709,406.932,402.571,7.7, -0.8, -1.1
Utility (piped) gas service(2).................,286.953,294.682,322.823,0.6,12.5,9.5
Household furnishings and operations...........,143.846, -,146.647,5.4,1.9, -
Apparel ...............................................................,118.319, -,103.168, -12.0, -12.8, -
Transportation ....................................................,207.576, -,194.267, -7.8, -6.4, -
Private transportation .....................................,199.614, -,187.999, -8.0, -5.8, -
New and used motor vehicles(4)....................,94.584, -,93.022, -0.2, -1.7, -
New vehicles(1)...........................................,158.826, -,155.978, -1.3, -1.8, -
Used cars and trucks(1) ..............................,247.896, -,250.754, -1.0,1.2, -
Motor fuel ....................................................,251.171,235.263,209.994, -27.6, -16.4, -10.7
Gasoline (all types)..................................,250.046,234.133,208.818, -27.8, -16.5, -10.8
"Gasoline, unleaded regular(4)..............",249.274,233.79,207.452, -28.4, -16.8, -11.3
"Gasoline, unleaded midgrade(4)(5)......",236.047,227.897,203.073, -23.7, -14.0, -10.9
"Gasoline, unleaded premium(4) ...........",239.787,222.019,202.433, -25.5, -15.6, -8.8
Motor vehicle insurance(1) .............................,543.61, -,496.802, -3.8, -8.6, -
Medical care .......................................................,545.97, -,548.136,2,0.4, -
Recreation(6)......................................................,119.462, -,119.902,0.5,0.4, -
Education and communication(6).......................,150.916, -,151.603,0.1,0.5, -
"Tuition, other school fees, and child care(1) ..",1832.748, -,1841.368,0.3,0.5, -
Other goods and services ..................................,506.92, -,511.625,2.4,0.9, -
All items..................................................................,299.69, -,298.074,1.1, -0.5, -
Commodities ......................................................,194.559, -,192.19, -1.9, -1.2, -
Commodities less food & beverages..............,141.125, -,135.594, -7.2, -3.9, -
Nondurables less food & beverages ...........,186.302, -,174.114, -11.5, -6.5, -
Durables ......................................................,97.551, -,97.191, -0.6, -0.4, -
Services..............................................................,387.182, -,386.096,2.4, -0.3, -
All items less medical care .....................................,289.597, -,287.854,1, -0.6, -
All items less shelter...............................................,255.428, -,252.856, -0.2, -1.0, -
Commodities less food ...........................................,148.395, -,143.116, -6.7, -3.6, -
Nondurables ...........................................................,241.91, -,238.401, -2.2, -1.5, -
Nondurables less food............................................,196.037, -,184.991, -10.1, -5.6, -
Services less rent of shelter(3)...............................,379.913, -,376.932,1.7, -0.8, -
Services less medical care services.......................,376.538, -,375.246,2.2, -0.3, -
Energy ....................................................................,300.439,291.818,277.682, -13.9, -7.6, -4.8
All items less energy ..............................................,303.282, -,302.643,1.9, -0.2, -
All items less food and energy ...........................,305.596, -,304.121,1.5, -0.5, -
