,"Consumer Price Index for All Urban Consumers (CPI-U): U.S. city average, by expenditure category, April 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[1982-84=100, unless otherwise noted]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indent Level,Expenditure category,"Relative
importance
Mar.
2020",Unadjusted indexes,,,,,,,,,,,,,Seasonally adjusted indexes,,,,,,,,,,,,,Unadjusted percent change,,,,Seasonally adjusted percent change,,,One Month,,,,Twelve Month,,,
,,,"Apr.
2019","May
2019","Jun.
2019","Jul.
2019","Aug.
2019","Sep.
2019","Oct.
2019","Nov.
2019","Dec.
2019","Jan.
2020","Feb.
2020","Mar.
2020","Apr.
2020","Apr.
2019","May
2019","Jun.
2019","Jul.
2019","Aug.
2019","Sep.
2019","Oct.
2019","Nov.
2019","Dec.
2019","Jan.
2020","Feb.
2020","Mar.
2020","Apr.
2020","Apr.
2019-
Apr.
2020","Jan.
2020-
Feb.
2020","Feb.
2020-
Mar.
2020","Mar.
2020-
Apr.
2020","Jan.
2020-
Feb.
2020","Feb.
2020-
Mar.
2020","Mar.
2020-
Apr.
2020","Seasonally adjusted effect on All Items
Mar. 2020-
Apr. 2020(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) seasonally adjusted change since:(3),,"Unadjusted effect on All Items
Apr. 2019-
Apr. 2020(1)","Standard error, median price change(2)",Largest (L) or Smallest (S) unadjusted change since:(3),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,Percent change,,,Date,Percent change
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,All items,100.000,255.548,256.092,256.143,256.571,256.558,256.759,257.346,257.208,256.974,257.971,258.678,258.115,256.389,254.943,255.167,255.402,256.087,256.294,256.593,257.229,257.824,258.444,258.820,259.050,257.953,255.902,0.3,0.3,-0.2,-0.7,0.1,-0.4,-0.8,,0.04,S-Dec. 2008,-0.8,,0.08,S-Oct. 2015,0.2
1,Food,13.862,257.708,258.110,258.064,258.274,258.410,258.943,259.632,259.467,259.823,261.057,261.876,262.708,266.757,257.469,258.086,258.337,258.356,258.463,258.930,259.454,259.799,260.199,260.738,261.696,262.588,266.493,3.5,0.3,0.3,1.5,0.4,0.3,1.5,0.206,0.07,L-Jan. 1990,1.5,0.478,0.15,L-Feb. 2012,3.9
2,Food at home,7.652,241.878,242.145,241.407,241.359,241.153,241.543,242.340,241.726,241.750,243.110,244.054,245.163,251.717,241.467,242.103,241.876,241.500,241.244,241.521,242.034,242.296,242.399,242.572,243.749,244.960,251.271,4.1,0.4,0.5,2.7,0.5,0.5,2.6,0.197,0.12,L-Feb. 1974,2.8,0.310,0.19,L-Feb. 2012,4.5
3,Cereals and bakery products,0.989,276.640,277.795,276.891,277.490,276.619,277.308,276.470,276.166,275.036,275.916,276.641,277.646,285.160,276.526,277.423,276.499,276.946,276.348,277.211,277.002,277.285,276.395,275.255,276.733,277.050,285.043,3.1,0.3,0.4,2.7,0.5,0.1,2.9,0.028,0.30,L-EVER,Ð,0.031,0.44,L-May 2012,3.7
4,Cereals and cereal products,0.304,228.745,228.305,230.024,230.425,228.385,226.997,226.009,224.887,224.896,226.530,226.169,228.033,232.267,228.252,227.744,228.699,228.509,227.176,227.193,226.875,227.024,226.612,226.875,226.458,228.047,231.766,1.5,-0.2,0.8,1.9,-0.2,0.7,1.6,0.005,0.54,L-Dec. 2010,1.7,0.005,0.80,L-Mar. 2019,1.9
5,Flour and prepared flour mixes,0.042,236.002,238.911,238.545,241.126,239.327,238.686,232.780,224.422,225.638,235.711,234.170,235.939,238.985,235.016,235.080,235.919,236.249,236.024,236.536,235.401,234.419,235.076,233.896,232.568,234.969,237.985,1.3,-0.7,0.8,1.3,-0.6,1.0,1.3,0.001,0.83,L-Feb. 2018,1.3,0.001,1.08,L-Sep. 2018,1.8
5,Breakfast cereal(4),0.140,224.059,222.799,223.984,224.036,220.688,220.068,220.408,218.774,221.618,219.421,217.695,221.578,224.844,224.059,222.799,223.984,224.036,220.688,220.068,220.408,218.774,221.618,219.421,217.695,221.578,224.844,0.4,-0.8,1.8,1.5,-0.8,1.8,1.5,0.002,0.74,S-Feb. 2020,-0.8,0.000,1.01,L-Jul. 2019,2.0
5,"Rice, pasta, cornmeal(4)",0.123,237.898,237.412,240.598,240.739,240.329,237.621,236.496,238.499,234.282,237.732,239.446,238.912,244.852,237.898,237.412,240.598,240.739,240.329,237.621,236.496,238.499,234.282,237.732,239.446,238.912,244.852,2.9,0.7,-0.2,2.5,0.7,-0.2,2.5,0.003,0.98,L-Jan. 2015,3.4,0.004,1.35,L-Jun. 2015,3.2
6,Rice(4)(5)(6),,165.381,162.269,164.456,164.408,162.429,161.998,162.585,161.442,158.079,159.609,159.819,159.431,165.218,165.381,162.269,164.456,164.408,162.429,161.998,162.585,161.442,158.079,159.609,159.819,159.431,165.218,-0.1,0.1,-0.2,3.6,0.1,-0.2,3.6,,1.14,L-Aug. 2008,3.8,,1.84,L-Oct. 2019,1.8
5,Bakery products(4),0.684,304.224,306.374,303.823,304.540,304.417,306.410,305.674,305.890,304.051,304.479,305.850,306.338,315.786,304.224,306.374,303.823,304.540,304.417,306.410,305.674,305.890,304.051,304.479,305.850,306.338,315.786,3.8,0.5,0.2,3.1,0.5,0.2,3.1,0.021,0.36,L-EVER,Ð,0.026,0.55,L-Apr. 2012,4.7
6,Bread(4)(5),0.196,184.384,184.131,182.206,183.514,182.235,185.084,185.162,187.598,186.499,185.053,186.696,187.308,194.227,184.384,184.131,182.206,183.514,182.235,185.084,185.162,187.598,186.499,185.053,186.696,187.308,194.227,5.3,0.9,0.3,3.7,0.9,0.3,3.7,0.007,0.74,L-EVER,Ð,0.010,0.98,L-Mar. 2012,5.6
7,White bread(4)(6),,333.870,333.139,329.986,329.424,329.145,336.742,336.293,341.143,339.524,338.123,340.669,343.249,355.262,333.870,333.139,329.986,329.424,329.145,336.742,336.293,341.143,339.524,338.123,340.669,343.249,355.262,6.4,0.8,0.8,3.5,0.8,0.8,3.5,,1.01,L-Oct. 2007,3.6,,1.32,L-Oct. 2011,7.8
7,Bread other than white(4)(6),,359.067,359.966,355.253,360.225,355.828,358.000,359.226,362.753,361.061,357.306,360.304,361.991,374.510,359.067,359.966,355.253,360.225,355.828,358.000,359.226,362.753,361.061,357.306,360.304,361.991,374.510,4.3,0.8,0.5,3.5,0.8,0.5,3.5,,0.77,L-Oct. 2007,3.8,,1.32,L-Aug. 2013,4.5
6,"Fresh biscuits, rolls, muffins(5)",0.098,179.427,181.098,178.226,177.300,178.077,179.626,180.528,180.255,180.359,179.172,179.860,179.659,186.219,179.930,182.032,179.445,179.079,179.541,179.674,179.869,179.452,179.492,177.573,179.252,178.327,186.740,3.8,0.4,-0.1,3.7,0.9,-0.5,4.7,0.005,0.96,L-EVER,Ð,0.004,1.35,L-Mar. 2012,3.9
6,"Cakes, cupcakes, and cookies",0.177,290.258,292.291,291.086,292.662,292.710,292.693,289.839,294.040,287.726,292.549,288.073,292.379,296.846,290.533,292.390,292.015,293.140,293.725,293.741,291.140,292.371,288.464,290.245,286.749,291.914,297.128,2.3,-1.5,1.5,1.5,-1.2,1.8,1.8,0.003,0.71,Ð,Ð,0.004,1.01,L-Sep. 2019,2.5
7,Cookies(4)(6),,269.301,272.922,270.304,272.759,273.530,274.655,273.999,273.424,268.471,271.855,268.435,272.291,286.192,269.301,272.922,270.304,272.759,273.530,274.655,273.999,273.424,268.471,271.855,268.435,272.291,286.192,6.3,-1.3,1.4,5.1,-1.3,1.4,5.1,,1.07,L-EVER,Ð,,1.31,L-May 2012,7.4
7,Fresh cakes and cupcakes(4)(6),,317.785,317.815,318.944,319.192,319.745,318.247,310.384,323.576,312.827,316.440,313.595,316.188,308.843,317.785,317.815,318.944,319.192,319.745,318.247,310.384,323.576,312.827,316.440,313.595,316.188,308.843,-2.8,-0.9,0.8,-2.3,-0.9,0.8,-2.3,,0.78,S-Dec. 2019,-3.3,,1.09,S-EVER,Ð
6,Other bakery products,0.213,269.025,272.823,271.098,270.770,271.636,272.291,271.611,265.935,266.853,267.099,271.760,269.163,278.737,268.316,271.800,269.617,269.451,269.523,271.068,271.024,269.926,271.264,266.513,272.119,269.470,278.003,3.6,1.7,-1.0,3.6,2.1,-1.0,3.2,0.007,0.52,L-Apr. 2008,4.0,0.008,0.89,L-Apr. 2012,4.6
7,"Fresh sweetrolls, coffeecakes, doughnuts(4)(6)",,310.535,314.211,310.221,310.067,310.597,311.474,312.167,311.954,314.018,310.438,314.009,306.855,322.216,310.535,314.211,310.221,310.067,310.597,311.474,312.167,311.954,314.018,310.438,314.009,306.855,322.216,3.8,1.2,-2.3,5.0,1.2,-2.3,5.0,,0.83,L-Apr. 1999,6.4,,1.97,L-Jun. 2019,5.7
7,"Crackers, bread, and cracker products(6)",,301.798,310.542,309.526,309.496,313.283,311.267,311.228,296.462,303.588,301.606,307.955,308.985,321.130,302.297,308.463,306.413,307.018,308.193,309.196,310.282,304.997,310.146,300.656,308.919,309.223,321.661,6.4,2.1,0.3,3.9,2.7,0.1,4.0,,0.94,L-Jan. 1996,5.9,,1.60,L-Feb. 2012,7.3
7,"Frozen and refrigerated bakery products, pies, tarts, turnovers(6)",,272.470,272.072,270.150,268.764,268.713,270.456,268.891,267.969,262.152,267.144,271.689,267.546,272.966,270.569,270.555,269.430,267.883,267.841,269.805,268.485,270.671,267.133,266.138,272.092,267.372,271.060,0.2,1.7,-1.5,2.0,2.2,-1.7,1.4,,0.75,L-Feb. 2020,2.2,,0.81,L-Feb. 2020,1.1
3,"Meats, poultry, fish, and eggs",1.687,249.203,250.356,249.231,250.033,249.277,249.740,250.592,250.491,252.893,252.905,253.396,254.724,266.263,248.730,250.499,249.149,249.477,248.108,249.136,250.469,251.099,253.757,253.762,254.290,254.640,265.709,6.8,0.2,0.5,4.5,0.2,0.1,4.3,0.073,0.23,L-Jul. 1975,4.4,0.113,0.33,L-Feb. 2015,7.6
