,Indexes,,,Percent change from-,,
Item and Group ,,,,,,
,Dec. ,Jan. ,Feb. ,Feb. ,Dec. ,Jan. 
,2019,2020,2020,2019,2019,2020
Expenditure category,,,,,,
All items..................................................................,297.007, -,299.69,2.9,0.9, -
All items (1967=100) ..............................................,913.082, -,921.33, -, -, -
Food and beverages ..........................................,291.161, -,294.897,2.7,1.3, -
Food ...............................................................,289.795, -,293.86,3.5,1.4, -
Food at home ..............................................,255.16,252.943,255.459,0.5,0.1,1
Cereals and bakery products ......................,261.685, -,260.713,3.4, -0.4, -
"Meats, poultry, fish, and eggs......................",257.727, -,259.584,5.2,0.7, -
Dairy and related products ..........................,272.909, -,276.983,2.7,1.5, -
Fruits and vegetables ..................................,339.39, -,337.537, -2.3, -0.5, -
Nonalcoholic beverages and beverage,,,,,,
,208.244, -,205.5, -1.8, -1.3, -
materials(1) .................................................,,,,,,
Other food at home .....................................,215.083, -,215.951, -2.8,0.4, -
Food away from home....................................,329.746, -,338.7,6.3,2.7, -
Food away from home.................................,329.746, -,338.7,6.3,2.7, -
Alcoholic beverages .......................................,311.197, -,310.927, -3.6, -0.1, -
Housing ..............................................................,352.601, -,355.875,3.8,0.9, -
Shelter ............................................................,403.366,404.651,406.369,3.5,0.7,0.4
Rent of primary residence(2).......................,465.399,467.145,469.062,4.1,0.8,0.4
Owners' equiv. rent of residences(2)(3).......,431.525,432.813,435.428,3.4,0.9,0.6
Owners' equiv. rent of primary,,,,,,
,431.525,432.813,435.428,3.4,0.9,0.6
residence(1)(2) ........................................,,,,,,
Fuels and utilities............................................,421.094, -,428.216,7.6,1.7, -
Household energy .......................................,361.199,370.673,371.12,9.1,2.7,0.1
Energy services(2) ..................................,362.411,371.961,372.547,9.2,2.8,0.2
Electricity(2)..........................................,394.942,405.709,405.709,11.2,2.7,0
Utility (piped) gas service(2).................,278.293,284.492,286.953,3.3,3.1,0.9
Household furnishings and operations...........,140.571, -,143.846,3.7,2.3, -
Apparel ...............................................................,105.638, -,118.319,1.1,12, -
Transportation ....................................................,205.815, -,207.576,2.4,0.9, -
Private transportation .....................................,200.558, -,199.614,1.5, -0.5, -
New and used motor vehicles(4)....................,94.248, -,94.584, -0.8,0.4, -
New vehicles(1)...........................................,157.614, -,158.826, -3.3,0.8, -
Used cars and trucks(1) ..............................,247.54, -,247.896, -1.7,0.1, -
Motor fuel ....................................................,261.728,254.945,251.171, -0.1, -4.0, -1.5
Gasoline (all types)..................................,260.603,253.829,250.046, -0.1, -4.1, -1.5
"Gasoline, unleaded regular(4)..............",260.154,253.3,249.274, -0.5, -4.2, -1.6
"Gasoline, unleaded midgrade(4)(5)......",246.885,240.385,236.047,1.4, -4.4, -1.8
"Gasoline, unleaded premium(4) ...........",248.322,242.254,239.787,1.3, -3.4, -1.0
Motor vehicle insurance(1) .............................,534.852, -,543.61,5.3,1.6, -
Medical care .......................................................,554.645, -,545.97,5.1, -1.6, -
Recreation(6)......................................................,120.285, -,119.462,1.3, -0.7, -
Education and communication(6).......................,150.738, -,150.916, -0.8,0.1, -
"Tuition, other school fees, and child care(1) ..",1832.7, -,1832.748,0,0, -
Other goods and services ..................................,502.634, -,506.92,1.4,0.9, -
Commodity and service group,,,,,,
All items..................................................................,297.007, -,299.69,2.9,0.9, -
Commodities ......................................................,191.711, -,194.559,0.7,1.5, -
Commodities less food & beverages..............,138.789, -,141.125, -1.2,1.7, -
Nondurables less food & beverages ...........,183.571, -,186.302, -1.0,1.5, -
Durables ......................................................,95.685, -,97.551, -1.7,2, -
Services..............................................................,384.554, -,387.182,3.8,0.7, -
Note: See footnotes at end of table.,,,,,,
,4,,,,,
Table 1. Consumer Price Index for All Urban Consumers (CPI-U): Indexes and percent changes for selected,,,,,,
"periods San Francisco-Oakland-Hayward, CA (1982-84=100 unless otherwise noted)",,,,- Continued,,
,Indexes,,,Percent change from-,,
Item and Group ,,,,,,
Dec. ,Jan. ,Feb. ,Feb. ,Dec. ,Jan. ,
2019,2020,2020,2019,2019,2020,
Special aggregate indexes,,,,,,
All items less medical care .....................................,286.521, -,289.597,2.7,1.1, -
All items less shelter...............................................,252.809, -,255.428,2.5,1, -
Commodities less food ...........................................,146.124, -,148.395, -1.4,1.6, -
Nondurables ...........................................................,238.667, -,241.91,1.2,1.4, -
Nondurables less food............................................,193.523, -,196.037, -1.3,1.3, -
Services less rent of shelter(3)...............................,377.741, -,379.913,4.4,0.6, -
Services less medical care services.......................,373.552, -,376.538,3.6,0.8, -
Energy ....................................................................,302.9,302.554,300.439,4, -0.8, -0.7
All items less energy ..............................................,300.324, -,303.282,2.9,1, -
All items less food and energy ...........................,302.804, -,305.596,2.8,0.9, -
