Expenditure Category,IDX-APR-2019,IDX-MAY-2019,IDX-JUN-2019,IDX-JUL-2019,IDX-AUG-2019,IDX-SEP-2019,IDX-OCT-2019,IDX-NOV-2019,IDX-DEC-2019,IDX-JAN-2020,IDX-FEB-2020,IDX-MAR-2020,IDX-APR-2020
All items,255.548,256.092,256.143,256.571,256.558,256.759,257.346,257.208,256.974,257.971,258.678,258.115,256.389
Food,257.708,258.110,258.064,258.274,258.410,258.943,259.632,259.467,259.823,261.057,261.876,262.708,266.757
Food at home,241.878,242.145,241.407,241.359,241.153,241.543,242.340,241.726,241.750,243.110,244.054,245.163,251.717
Cereals and bakery products,276.640,277.795,276.891,277.490,276.619,277.308,276.470,276.166,275.036,275.916,276.641,277.646,285.160
"Meats, poultry, fish, and eggs",249.203,250.356,249.231,250.033,249.277,249.740,250.592,250.491,252.893,252.905,253.396,254.724,266.263
Dairy and related products,217.510,217.841,217.433,217.626,218.758,219.771,220.738,221.515,221.924,223.035,224.443,225.627,228.755
Fruits and vegetables,303.503,302.352,298.611,299.350,298.600,297.309,301.318,297.472,297.105,301.679,299.817,299.641,304.809
Energy,222.499,225.773,221.373,222.492,216.978,215.418,216.351,214.636,212.982,213.043,208.354,199.573,183.081
All items less food and energy,262.332,262.590,263.177,263.566,264.169,264.522,265.059,265.108,264.935,266.004,267.268,267.312,266.089
Special aggregate indexes,,,,,,,,,,,,,
All items less food,255.194,255.759,255.825,256.286,256.250,256.401,256.973,256.839,256.516,257.476,258.165,257.382,254.746
All items less shelter,234.723,235.131,234.791,235.071,234.853,234.802,235.538,235.162,234.656,235.553,236.084,235.184,232.860
All items less food and shelter,228.655,229.061,228.659,228.952,228.658,228.479,229.222,228.802,228.109,228.926,229.390,228.099,224.331
"All items less food, shelter, and energy",232.380,232.280,232.585,232.735,233.367,233.432,234.150,233.955,233.426,234.373,235.659,235.539,233.740
"All items less food, shelter, energy, and used cars and trucks",238.012,238.051,238.200,238.181,238.745,239.317,240.116,239.999,239.454,240.588,241.844,241.387,239.563
All items less medical care,244.134,244.629,244.653,245.000,244.836,245.020,245.418,245.206,244.861,245.789,246.445,245.778,243.907
All items less energy,260.925,261.203,261.696,262.059,262.592,262.969,263.527,263.545,263.450,264.540,265.734,265.896,265.465
Commodities,186.884,187.236,186.112,186.319,185.686,185.508,186.012,185.186,184.441,185.055,185.331,184.364,182.141
Services,323.228,323.964,325.218,325.866,326.489,327.076,327.744,328.311,328.603,329.987,331.139,331.021,329.866
Durables,105.178,104.849,105.167,105.369,105.331,104.385,104.263,103.902,103.695,103.896,104.421,104.703,104.336
Nondurables,229.028,229.875,227.749,227.936,226.909,227.358,228.294,227.202,226.120,226.998,227.015,225.113,221.622
Housing,264.452,265.137,266.461,267.101,267.263,267.822,267.794,267.925,268.236,269.468,270.281,270.273,270.184
Education and communication(5),137.182,137.199,137.344,137.595,138.154,138.409,138.529,138.920,138.839,139.132,139.256,139.199,139.378
Recreation(5),120.821,120.254,120.145,120.128,120.458,120.357,120.982,121.381,121.545,121.986,122.067,122.265,121.935
Food and beverages,257.393,257.791,257.778,258.015,258.154,258.646,259.284,259.080,259.403,260.638,261.487,262.320,266.137
Other services,357.646,357.190,357.493,358.051,359.320,359.723,360.968,362.303,363.215,364.536,364.767,365.516,365.780
Apparel less footwear,118.538,117.389,116.544,114.704,115.904,119.572,118.528,115.053,110.983,112.770,116.710,116.390,110.865
Fuels and utilities,240.773,241.390,244.703,245.205,244.540,243.643,242.207,241.459,241.788,243.739,242.951,241.160,239.897
Medical care,493.331,494.928,495.563,497.687,500.916,501.468,506.100,507.541,509.689,512.149,513.923,515.605,517.053
Transportation,214.142,215.391,213.073,213.405,211.084,209.350,210.487,209.763,208.482,208.284,207.772,203.854,193.732
Utilities and public transportation,216.953,218.195,219.709,219.139,218.690,218.639,218.527,218.568,217.864,219.206,219.886,216.968,214.801
Household furnishings and operations,123.345,123.344,124.237,124.361,123.818,124.183,124.256,123.733,123.462,124.151,124.636,124.469,124.961
Other goods and services,448.658,449.896,449.345,451.709,453.074,453.193,455.225,456.262,455.413,458.336,460.144,461.495,461.294
Apparel,125.542,124.429,123.749,122.161,123.641,127.009,126.154,122.986,119.111,120.853,124.438,123.815,118.394
